# Serbian;German;level
lit;angezündet;?
upright;aufrecht;?
moved, agitated, touched;bewegt;?
brittle, fragile, flawed;brüchig;?
subsequently, thereupon, thereafter, in response;daraufhin;?
distinct, obvious, plain;deutlich;?
urging, pressing, elbowing;drängend;?
along, alongside, down;entlang;?
reviving, regenerating, renewing;erneuernd;?
emitting sparks, sparking;Funken sprühend;?
mutual, mutually;gegenseitig;?
even, just, straight;gerade;?
vast, tremendous, enormous;gewaltig;?
convoluted, spiral, serpentine, meandering;gewunden;?
down;hinab;?
up, upwards, upstairs, above;hinauf;?
guttural, throaty;kehlig;?
again, however, on the other hand, in turn;wiederum;?
